iter	MAE
0	0.9613523542
1	0.935825719
2	0.911121781
3	0.887138858
4	0.8642747118
5	0.8422461177
6	0.82080299
7	0.7998802396
8	0.7793587707
9	0.7598868849
10	0.7416671041
11	0.7234742127
12	0.7061220765
13	0.6889207654
14	0.6720826063
15	0.6558056791
16	0.6400659683
17	0.6243713134
18	0.6102078867
19	0.5962438472
20	0.5829862568
21	0.5693851059
22	0.5562937193
23	0.5439206567
24	0.5320100036
25	0.5202955933
26	0.5088962513
27	0.4988542977
28	0.4880026602
29	0.4776638044
30	0.4682069759
31	0.4584673775
32	0.4487772866
33	0.4399415709
34	0.4313681929
35	0.4229346819
36	0.4148924982
37	0.4069370399
38	0.3992869025
39	0.3912977247
40	0.3839730211
41	0.377170261
42	0.3702143118
43	0.363277643
44	0.3564994965
45	0.3501262035
46	0.3440690707
47	0.338193338
48	0.3323876198
49	0.3266303311
50	0.32124973
51	0.3158692002
52	0.3106209044
53	0.3058047453
54	0.3010985457
55	0.2964807139
56	0.2922280374
57	0.2877533903
58	0.2835811185
59	0.2797441643
60	0.2754574993
61	0.2714034628
62	0.2679640895
63	0.2641581831
64	0.2607050001
65	0.2570034275
66	0.2539435285
67	0.2508325051
68	0.2478257381
69	0.244857306
70	0.2416171751
71	0.2387480005
72	0.2359168335
73	0.2331471331
74	0.2306456042
75	0.227970358
76	0.22567353
77	0.2231542139
78	0.2208571118
79	0.2184419443
80	0.2162584495
81	0.2141421167
82	0.2120277225
83	0.2099870113
84	0.2079362203
85	0.2059112727
86	0.2040499452
87	0.2021165887
88	0.2004246551
89	0.198770855
90	0.1972487593
91	0.1955545356
92	0.193988368
93	0.1925825637
94	0.1911194814
95	0.1899221028
96	0.1886829955
97	0.1874910867
98	0.1862521163
99	0.1851332906
100	0.1838379533
101	0.182559115
102	0.1813336266
103	0.1802685459
104	0.1792326593
105	0.1781285409
106	0.1770519455
107	0.176064137
108	0.1750784598
109	0.1739888144
110	0.1731112448
111	0.1723186682
112	0.1715083994
113	0.1705621898
114	0.1696752742
115	0.1688015521
116	0.1680423495
117	0.1672318893
118	0.1664587993
119	0.1657822637
120	0.1650649104
121	0.1643849338
122	0.1637551113
123	0.1631143713
124	0.1623649067
125	0.1617406949
126	0.1611493635
127	0.1606173679
128	0.1600303242
129	0.1594148722
130	0.1587961645
131	0.1582374497
132	0.1576343547
133	0.1570292805
134	0.1565177845
135	0.1560438749
136	0.1555737166
137	0.1551024319
138	0.1546071038
139	0.1541871578
140	0.1537851766
141	0.1533972991
142	0.1529538744
143	0.1524907055
144	0.1520928235
145	0.1516144098
146	0.1512459948
147	0.1508647664
148	0.1504409875
149	0.1500910493
150	0.1496497127
151	0.1493852441
152	0.148907186
153	0.1486262149
154	0.1482608641
155	0.1479105869
156	0.1474898053
157	0.14716637
158	0.1468954403
159	0.1465499807
160	0.1462983537
161	0.146033774
162	0.1457432773
163	0.1453836162
164	0.1450802527
165	0.1448095003
166	0.1445918426
167	0.1443407034
168	0.1440843141
169	0.1438277702
170	0.1435035492
171	0.1433190499
172	0.143016961
173	0.1428223697
174	0.14263202
175	0.1424252981
176	0.1422136151
177	0.1420088896
178	0.1418339294
179	0.1415656834
180	0.1412631709
181	0.1410909451
182	0.1408947014
183	0.1407356878
184	0.1405797641
185	0.1403373465
186	0.1401426487
187	0.1399861981
188	0.1398003
189	0.1394774941
190	0.139270479
191	0.1390912901
192	0.1389197657
193	0.1386836968
194	0.1384165091
195	0.1382799571
196	0.138059837
197	0.1379102269
198	0.1377583163
199	0.1376183657
200	0.1374871089
201	0.1372375778
202	0.1370565336
203	0.1369121819
204	0.1367942488
205	0.136511359
206	0.1363706052
207	0.1362013204
208	0.1360479187
209	0.1358402802
210	0.1356468101
211	0.1354968769
212	0.1352187816
213	0.1350958337
214	0.1349331343
215	0.1347147667
216	0.1345193718
217	0.1343452367
218	0.1341948059
219	0.1340221449
220	0.1338417047
221	0.1337350383
222	0.1335409718
223	0.1333785705
224	0.1332423672
225	0.133144969
226	0.1330797476
227	0.1329151663
228	0.1328064628
229	0.1326276521
230	0.1324748263
231	0.1322869601
232	0.1321211653
233	0.1319779089
234	0.1317608608
235	0.1316355396
236	0.1315516731
237	0.1313587494
238	0.1311840346
239	0.130991665
240	0.1308794503
241	0.130782005
242	0.1306114422
243	0.1304911271
244	0.1304059081
245	0.1302895766
246	0.1300994695
247	0.1299628324
248	0.1298316611
249	0.1297339339
250	0.1294928584
251	0.1293461699
252	0.1291998479
253	0.1290825156
254	0.1290027741
255	0.1288602093
256	0.1287383781
257	0.1285593835
258	0.128430556
259	0.1282745995
260	0.1280592357
261	0.1279499735
262	0.1278267429
263	0.1277383258
264	0.1275277855
265	0.1273871399
266	0.1272799132
267	0.127144618
268	0.1269764422
269	0.1268393814
270	0.1266770766
271	0.1265562517
272	0.1264562423
273	0.1263443976
274	0.1262140578
275	0.1261106457
276	0.126044501
277	0.1259571408
278	0.1258116139
279	0.1256659539
280	0.125569876
281	0.1254982702
282	0.1254198504
283	0.1253124939
284	0.1252102375
285	0.125119198
286	0.1250461449
287	0.1248516255
288	0.124758605
289	0.1246660801
290	0.1245699261
291	0.1244984586
292	0.1243321599
293	0.124248355
294	0.1241453418
295	0.1240846318
296	0.1239557426
297	0.1238037875
298	0.1237373862
299	0.123679639
300	0.1235466676
301	0.1234551312
302	0.1233314175
303	0.1232525031
304	0.1230898239
305	0.1230083844
306	0.1228831357
307	0.1227836912
308	0.1226577121
309	0.1225903578
310	0.122534144
311	0.1224442223
312	0.1223546191
313	0.1222967059
314	0.1222073088
315	0.1221138943
316	0.1220399125
317	0.1219027203
318	0.1217858132
319	0.121657279
320	0.1215171241
321	0.12141675
322	0.1213239333
323	0.1212375536
324	0.1211527965
325	0.1210535148
326	0.1209202972
327	0.1208371852
328	0.1207454821
329	0.120628674
330	0.1205003671
331	0.1204155275
332	0.1203058578
333	0.1202090925
334	0.1201427992
335	0.1200747348
336	0.1199377287
337	0.1198187481
338	0.1197191083
339	0.119654487
340	0.1195770648
341	0.1194655959
342	0.1194103387
343	0.1193516195
344	0.119288611
345	0.1191548824
346	0.1190720041
347	0.1189918373
348	0.1189177909
349	0.1188254293
350	0.1186935351
351	0.1185694576
352	0.1184678509
353	0.1183624118
354	0.11828436
355	0.1181662729
356	0.1180865855
357	0.1179789417
358	0.11792807
359	0.1178329001
360	0.1177550763
361	0.1176450031
362	0.1175111068
363	0.1174497987
364	0.1173746581
365	0.1172719705
366	0.1171816248
367	0.1170956737
368	0.1170273742
369	0.116976474
370	0.116885178
371	0.116807545
372	0.1167532256
373	0.1166581904
374	0.1165387753
375	0.1164527679
376	0.1164004434
377	0.1163456688
378	0.1163066787
379	0.1162252582
380	0.1161654839
381	0.1160954861
382	0.1160185343
383	0.115963586
384	0.1158923253
385	0.1157967593
386	0.1157275539
387	0.1156738316
388	0.1155870157
389	0.1154910991
390	0.115440917
391	0.1153453355
392	0.1152959733
393	0.1152140041
394	0.1150936696
395	0.114978805
396	0.1148763985
397	0.1148095687
398	0.1147307879
399	0.1146662738
400	0.1146148784
401	0.1145771705
402	0.1144794748
403	0.1143974668
404	0.1143345205
405	0.1142686262
406	0.1141926206
407	0.1141332235
408	0.1140688236
409	0.1139989064
410	0.1139408143
411	0.1138692736
412	0.1138107297
413	0.113723878
414	0.1136738449
415	0.1136284516
416	0.1135591782
417	0.113508931
418	0.1134378209
419	0.1133733068
420	0.1133115184
421	0.1132507199
422	0.1131647078
423	0.1131221309
424	0.1130769316
425	0.1130083626
426	0.1129556446
427	0.1129037714
428	0.1128633285
429	0.1128141189
430	0.1127638927
431	0.1127077787
432	0.1126409958
433	0.1125519189
434	0.1125013957
435	0.1124619632
436	0.1123991469
437	0.1123395166
438	0.1122852028
439	0.1122510811
440	0.1121890696
441	0.1121589664
442	0.1120765408
443	0.1120415605
444	0.1120122605
445	0.1119601832
446	0.1119111874
447	0.1118541159
448	0.1118266113
449	0.1117899763
450	0.1117238833
451	0.1116314495
452	0.1115708555
453	0.1115049237
454	0.1114668079
455	0.1114074633
456	0.1113671096
457	0.1112863909
458	0.1112305555
459	0.1111755812
460	0.1111436762
461	0.1110766169
462	0.1110249225
463	0.1109637121
464	0.110896587
465	0.1108520259
466	0.1107907139
467	0.110757877
468	0.1107190297
469	0.1106722266
470	0.1106331493
471	0.1105431549
472	0.110482899
473	0.1104462169
474	0.1103946636
475	0.1103447943
476	0.110289332
477	0.1102223697
478	0.1101601625
479	0.1100897072
480	0.1100524626
481	0.109993983
482	0.1099363674
483	0.1098842875
484	0.1098527525
485	0.1098276328
486	0.1097993919
487	0.1097585154
488	0.1097085223
489	0.109662463
490	0.1096009544
491	0.1095555578
492	0.1094888054
493	0.1094212586
494	0.1093590658
495	0.1093053556
496	0.1092374813
497	0.1091834555
498	0.109129985
499	0.1090912905
500	0.1090525899
501	0.1090302256
502	0.1090005516
503	0.1089750378
504	0.1089457045
505	0.1088931305
506	0.1088453917
507	0.108808794
508	0.1087727815
509	0.1087061918
510	0.1086505896
511	0.1086140999
512	0.1085649004
513	0.1085419434
514	0.1084848021
515	0.1084494543
516	0.1084132079
517	0.1083619323
518	0.1083355461
519	0.1082785054
520	0.1082531162
521	0.1082176819
522	0.1081571589
523	0.1081096278
524	0.1080684892
525	0.1080191974
526	0.1079719891
527	0.1079116759
528	0.1078525537
529	0.1078248384
530	0.1077811047
531	0.1077437285
532	0.1076940944
533	0.1076403348
534	0.107571384
535	0.1075170932
536	0.1074657714
537	0.1074012777
538	0.1073617827
539	0.1073353208
540	0.1072954218
541	0.1072441064
542	0.1072045627
543	0.1071687204
544	0.1071283362
545	0.1070767633
546	0.1070421173
547	0.1070048654
548	0.1069482645
549	0.1069117234
550	0.1068822897
551	0.1068255405
552	0.1067992746
553	0.1067753923
554	0.1067312758
555	0.1066966502
556	0.106671069
557	0.1066329062
558	0.1066072389
559	0.1065492606
560	0.1065182153
561	0.1064981832
562	0.1064370253
563	0.1063861831
564	0.1063556624
565	0.1063027979
566	0.1062632027
567	0.1062142126
568	0.1061682908
569	0.1061366617
570	0.1060963739
571	0.1060577868
572	0.1060272343
573	0.1059981542
574	0.1059481762
575	0.1059088326
576	0.1058537344
577	0.1058341853
578	0.1058105631
579	0.1057721483
580	0.1057342936
581	0.1056985323
582	0.1056582526
583	0.1056297282
584	0.1055971142
585	0.1055797883
586	0.10549448
587	0.1054338547
588	0.1053731584
589	0.1053380493
590	0.1053062425
591	0.1052536626
592	0.1052060746
593	0.1051706651
594	0.1051313606
595	0.105097571
596	0.105066479
597	0.1050441784
598	0.1050030182
599	0.1049545326
600	0.1049269597
601	0.104879765
602	0.1048523432
603	0.1048273247
604	0.1047982029
605	0.1047755748
606	0.1047347589
607	0.1046961883
608	0.104674432
609	0.1046491909
610	0.1046168148
611	0.1045897985
612	0.1045644975
613	0.1045188141
614	0.1044880031
615	0.1044531491
616	0.1043886407
617	0.1043583869
618	0.1043441709
619	0.1043153462
620	0.1042776299
621	0.1042318795
622	0.1041959577
623	0.1041606566
624	0.104123648
625	0.1040938908
626	0.1040741251
627	0.1040478267
628	0.1040116489
629	0.1039632742
630	0.1039254589
631	0.1038910517
632	0.103865886
633	0.1037912376
634	0.1037571724
635	0.103727538
636	0.1036898841
637	0.1036547523
638	0.1036301594
639	0.1035888077
640	0.1035629615
641	0.1035336997
642	0.1035007797
643	0.1034668584
644	0.1034430775
645	0.1034167118
646	0.1033738556
647	0.1033301846
648	0.1033039439
649	0.103272853
650	0.1032420332
651	0.103212422
652	0.1031644491
653	0.1031314031
