iter	Passed	Remaining
0	80	807964
1	147	736888
2	200	667467
3	269	672674
4	365	730231
5	430	717622
6	485	692514
7	537	670717
8	594	660294
9	673	672368
10	732	665528
11	811	675095
12	869	667763
13	927	661451
14	984	655153
15	1054	657851
16	1114	654751
17	1168	648046
18	1261	662543
19	1358	677711
20	1428	678753
21	1493	677316
22	1560	676759
23	1619	673217
24	1683	671805
25	1733	665184
26	1798	664342
27	1863	663571
28	1912	657706
29	1964	652984
30	2040	656047
31	2108	656702
32	2160	652484
33	2287	670566
34	2354	670416
35	2420	669836
36	2502	673978
37	2580	676599
38	2644	675408
39	2725	678682
40	2795	679088
41	2873	681205
42	2936	679997
43	3010	681282
44	3101	686072
45	3165	685059
46	3233	684802
47	3304	685138
48	3356	681734
49	3420	680609
50	3473	677566
51	3528	674999
52	3581	672107
53	3642	670968
54	3695	668228
55	3765	668597
56	3833	668722
57	3895	667658
58	3947	665130
59	3992	661477
60	4085	665596
61	4162	667276
62	4239	668680
63	4317	670249
64	4403	673107
65	4509	678676
66	4588	680199
67	4664	681229
68	4786	688914
69	4850	688125
70	4907	686268
71	4957	683565
72	5031	684200
73	5117	686440
74	5175	684953
75	5255	686302
76	5326	686480
77	5384	684909
78	5432	682168
79	5490	680786
80	5548	679406
81	5601	677486
82	5668	677270
83	5729	676337
84	5798	676391
85	5895	679610
86	5999	683638
87	6087	685617
88	6158	685784
89	6240	687141
90	6324	688704
91	6408	690208
92	6496	692026
93	6557	691090
94	6684	696995
95	6764	697819
96	6846	698929
97	6899	697125
98	6973	697405
99	7050	698033
100	7115	697425
101	7171	695959
102	7228	694537
103	7285	693286
104	7393	696767
105	7492	699373
106	7553	698365
107	7625	698421
108	7735	701975
109	7806	701871
110	7887	702734
111	7945	701433
112	8003	700296
113	8071	699988
114	8147	700330
115	8212	699772
116	8298	700951
117	8363	700401
118	8487	704716
119	8540	703160
120	8591	701463
121	8656	700911
122	8723	700469
123	8794	700413
124	8853	699442
125	8928	699649
126	9011	700553
127	9080	700363
128	9152	700344
129	9203	698780
130	9272	698517
131	9324	697097
132	9381	696021
133	9438	694894
134	9511	695063
135	9584	695150
136	9644	694323
137	9715	694280
138	9770	693156
139	9828	692228
140	9889	691501
141	9947	690597
142	10005	689673
143	10077	689754
144	10140	689174
145	10217	689613
146	10316	691485
147	10368	690208
148	10435	689927
149	10509	690102
150	10574	689727
151	10626	688484
152	10687	687858
153	10766	688325
154	10839	688466
155	10900	687866
156	10972	687912
157	11045	688044
158	11169	691328
159	11219	689983
160	11285	689655
161	11352	689405
162	11436	690169
163	11517	690754
164	11597	691262
165	11672	691515
166	11737	691124
167	11807	691031
168	11873	690684
169	11924	689509
170	11982	688774
171	12056	688889
172	12168	691200
173	12219	690041
174	12292	690136
175	12343	688983
176	12404	688397
177	12477	688519
178	12530	687507
179	12595	687168
180	12679	687842
181	12728	686646
182	12821	687801
183	12896	687995
184	12979	688610
185	13029	687460
186	13090	686911
187	13149	686306
188	13221	686305
189	13282	685789
190	13362	686269
191	13418	685455
192	13482	685080
193	13558	685354
194	13618	684771
195	13682	684407
196	13756	684532
197	13834	684880
198	13944	686782
199	13998	685933
200	14086	686745
201	14156	686676
202	14230	686774
203	14284	685918
204	14357	685999
205	14438	686468
206	14502	686119
207	14580	686396
208	14631	685459
209	14686	684656
210	14751	684380
211	14814	683976
212	14876	683543
213	14939	683171
214	15014	683346
215	15092	683656
216	15155	683247
217	15222	683049
218	15286	682730
219	15363	682978
220	15422	682411
221	15489	682247
222	15558	682146
223	15653	683173
224	15731	683455
225	15792	683007
226	15861	682876
227	15928	682695
228	15994	682451
229	16053	681915
230	16119	681688
231	16196	681918
232	16251	681232
233	16318	681061
234	16366	680073
235	16432	679855
236	16486	679136
237	16538	678347
238	16589	677518
239	16641	676740
240	16707	676569
241	16782	676697
242	16864	677150
243	16949	677717
244	17026	677939
245	17098	677949
246	17160	677615
247	17218	677089
248	17297	677377
249	17351	676706
250	17476	678784
251	17530	678143
252	17598	678010
253	17653	677350
254	17723	677323
255	17790	677144
256	17862	677159
257	17920	676656
258	17986	676468
259	18066	676796
260	18138	676829
261	18201	676501
262	18270	676410
263	18332	676084
264	18384	675359
265	18448	675111
266	18496	674273
267	18551	673677
268	18630	673953
269	18709	674234
270	18785	674418
271	18871	674924
272	18934	674648
273	19002	674507
274	19086	674956
275	19143	674461
276	19214	674457
277	19296	674834
278	19356	674427
279	19430	674519
280	19504	674617
281	19574	674541
282	19637	674257
283	19706	674176
284	19784	674394
285	19883	675360
286	19944	674985
287	20006	674672
288	20063	674186
289	20116	673569
290	20168	672913
291	20229	672563
292	20279	671857
293	20341	671530
294	20397	671041
295	20463	670878
296	20528	670674
297	20607	670908
298	20684	671095
299	20744	670725
300	20820	670874
301	20892	670911
302	20960	670814
303	21025	670604
304	21099	670693
305	21197	671541
306	21280	671886
307	21346	671717
308	21416	671679
309	21484	671549
310	21554	671505
311	21618	671270
312	21683	671074
313	21755	671088
314	21818	670846
315	21877	670449
316	21945	670327
317	22006	670021
318	22070	669798
319	22128	669385
320	22195	669241
321	22259	669016
322	22319	668689
323	22392	668734
324	22481	669247
325	22556	669363
326	22636	669602
327	22694	669200
328	22752	668798
329	22815	668573
330	22891	668691
331	22965	668774
332	23053	669245
333	23120	669124
334	23173	668582
335	23224	667991
336	23275	667402
337	23349	667456
338	23418	667402
339	23481	667156
340	23540	666788
341	23597	666379
342	23663	666230
343	23727	666033
344	23777	665427
345	23831	664939
346	23890	664607
347	23944	664119
348	23996	663571
349	24062	663424
350	24138	663579
351	24216	663755
352	24282	663596
353	24335	663113
354	24391	662688
355	24445	662215
356	24522	662380
357	24588	662239
358	24649	661966
359	24715	661829
360	24817	662639
361	24895	662820
362	24947	662301
363	25024	662449
364	25098	662518
365	25173	662617
366	25250	662777
367	25305	662347
368	25377	662354
369	25440	662142
370	25498	661798
371	25560	661554
372	25623	661325
373	25675	660837
374	25737	660608
375	25799	660350
376	25848	659780
377	25914	659646
378	25974	659366
379	26029	658969
380	26112	659243
381	26193	659494
382	26254	659229
383	26325	659227
384	26384	658924
385	26454	658897
386	26510	658512
387	26578	658429
388	26668	658905
389	26723	658499
390	26790	658384
